Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"电度","VD1200",DWord,1,R/W,100,,,,,,,,,,"",
"功率","VD1112",Float,1,R/W,100,,,,,,,,,,"",
"功率因素","VD1120",Float,1,R/W,100,,,,,,,,,,"",
"温度1","VW2100",Word,1,RO,1000,,,,,,,,,,"",
"温度2","VW2200",Word,1,RO,1000,,,,,,,,,,"",
"温度3","VW2300",Word,1,RO,1000,,,,,,,,,,"",
"温度4","VW2400",Word,1,RO,1000,,,,,,,,,,"",
"振动1","VW2000",Word,1,R/W,100,线性,0.000000,1000.000000,0.000000,100.000000,Double,0,0,"","",0
"振动2","VW2020",Word,1,R/W,100,线性,0.000000,1000.000000,0.000000,100.000000,Double,0,0,"","",0
"振动3","VW2040",Word,1,R/W,100,线性,0.000000,1000.000000,0.000000,100.000000,Double,0,0,"","",0
"振动4","VW2060",Word,1,R/W,100,线性,0.000000,1000.000000,0.000000,100.000000,Double,0,0,"","",0
