Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1#变流柜快熔断","DB10,D6.1",Boolean,1,RO,100,,,,,,,,,,"",
"1#变流柜无风","DB10,D60.0",Boolean,1,RO,100,,,,,,,,,,"",
"1#电抗器超温","DB10,D5.5",Boolean,1,RO,100,,,,,,,,,,"",
"1#定子变压器超温","DB10,D5.4",Boolean,1,RO,100,,,,,,,,,,"",
"1#定子高压跳闸","DB10,D6.0",Boolean,1,RO,100,,,,,,,,,,"",
"1#逆变故障","DB10,D7.1",Boolean,1,RO,100,,,,,,,,,,"",
"1#整流故障","DB10,D7.0",Boolean,1,RO,100,,,,,,,,,,"",
"2#变流柜通风无风","DB10,D60.1",Boolean,1,RO,100,,,,,,,,,,"",
"2#电抗器超温","DB10,D5.7",Boolean,1,RO,100,,,,,,,,,,"",
"2#定子变压器超温","DB10,D5.6",Boolean,1,RO,100,,,,,,,,,,"",
"2#定子高压跳闸","DB10,D6.4",Boolean,1,RO,100,,,,,,,,,,"",
"2#逆变故障","DB10,D7.3",Boolean,1,RO,100,,,,,,,,,,"",
"2#整流故障","DB10,D7.2",Boolean,1,RO,100,,,,,,,,,,"",
"2m/s测试","DB10,D5.0",Boolean,1,RO,100,,,,,,,,,,"",
"2米限速点故障","DB10,D15.3",Boolean,1,RO,100,,,,,,,,,,"",
"3#变流柜无风","DB10,D60.4",Boolean,1,RO,100,,,,,,,,,,"",
"4#变流柜无风","DB10,D60.5",Boolean,1,RO,100,,,,,,,,,,"",
"CPU故障","E5.7",Boolean,1,RO,100,,,,,,,,,,"",
"编码器故障XC","M200.4",Boolean,1,RO,100,,,,,,,,,,"",
"超速","M200.6",Boolean,1,RO,100,,,,,,,,,,"",
"导向轮轴温度报警","DB10,D11.7",Boolean,1,RO,100,,,,,,,,,,"",
"方向故障","M200.3",Boolean,1,RO,100,,,,,,,,,,"",
"方向故障1","DB10,D15.6",Boolean,1,RO,100,,,,,,,,,,"",
"副斗过卷","DB10,D3.6",Boolean,1,RO,100,,,,,,,,,,"",
"给定故障","M201.2",Boolean,1,RO,100,,,,,,,,,,"",
"过负荷","M400.2",Boolean,1,RO,100,,,,,,,,,,"",
"减速段超速","DB10,D16.3",Boolean,1,RO,100,,,,,,,,,,"",
"可控硅过热或Ac阻尼","DB10,D7.7",Boolean,1,RO,100,,,,,,,,,,"",
"励磁变压器超温","DB10,D4.0",Boolean,1,RO,100,,,,,,,,,,"",
"励磁高压跳闸","DB10,D6.7",Boolean,1,RO,100,,,,,,,,,,"",
"励磁故障调节柜","DB10,D7.4",Boolean,1,RO,100,,,,,,,,,,"",
"励磁柜风机无风","DB10,D20.0",Boolean,1,RO,100,,,,,,,,,,"",
"励磁快熔断","DB10,D7.6",Boolean,1,RO,100,,,,,,,,,,"",
"软过卷","M200.0",Boolean,1,RO,100,,,,,,,,,,"",
"软件极限过卷","M200.7",Boolean,1,RO,100,,,,,,,,,,"",
"松闸保护","DB10,D15.2",Boolean,1,RO,100,,,,,,,,,,"",
"调节柜编码器故障","M200.2",Boolean,1,RO,100,,,,,,,,,,"",
"调节柜插件故障","DB10,D5.3",Boolean,1,RO,100,,,,,,,,,,"",
"调节柜急停按钮","E4.6",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统轻故障","DB10,D10.0",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统正常","DB10,D10.1",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统重故障","DB10,D10.2",Boolean,1,RO,100,,,,,,,,,,"",
"主斗过卷","DB10,D4.6",Boolean,1,RO,100,,,,,,,,,,"",
"主绳打滑","M200.5",Boolean,1,RO,100,,,,,,,,,,"",
