Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1#辅助变过热","DB10,D5.0",Boolean,1,R/W,100,,,,,,,,,,"",
"1#高压分","DB10,D5.2",Boolean,1,R/W,100,,,,,,,,,,"",
"1#整流柜AC阻尼","DB10,D6.6",Boolean,1,R/W,100,,,,,,,,,,"",
"1#整流柜过热","DB10,D6.3",Boolean,1,R/W,100,,,,,,,,,,"",
"1#整流柜快熔断","DB10,D6.2",Boolean,1,R/W,100,,,,,,,,,,"",
"1#整流柜无风","DB10,D9.1",Boolean,1,R/W,100,,,,,,,,,,"",
"2#辅助变过热","DB10,D5.1",Boolean,1,RO,100,,,,,,,,,,"",
"2#高压分","DB10,D5.3",Boolean,1,RO,100,,,,,,,,,,"",
"2#整流柜AC阻尼","DB10,D6.7",Boolean,1,R/W,100,,,,,,,,,,"",
"2#整流柜风机无风","DB10,D9.2",Boolean,1,RO,100,,,,,,,,,,"",
"2#整流柜过热","DB10,D6.5",Boolean,1,R/W,100,,,,,,,,,,"",
"2#整流柜快熔断","DB10,D6.4",Boolean,1,R/W,100,,,,,,,,,,"",
"220v电源","DB10,D22.0",Boolean,1,RO,100,,,,,,,,,,"",
"2m/s点故障","DB10,D15.3",Boolean,1,RO,100,,,,,,,,,,"",
"6KV接地","DB10,D11.7",Boolean,1,RO,100,,,,,,,,,,"",
"编码器故障","DB10,D15.0",Boolean,1,RO,100,,,,,,,,,,"",
"测试机故障","M200.2",Boolean,1,RO,100,,,,,,,,,,"",
"超速XCPLC","M200.6",Boolean,1,RO,100,,,,,,,,,,"",
"磁场过流","M161.6",Boolean,1,RO,100,,,,,,,,,,"",
"磁场快容包括AC阻尼","DB10,D7.0",Boolean,1,RO,100,,,,,,,,,,"",
"错想保护","M200.3",Boolean,1,RO,100,,,,,,,,,,"",
"倒车故障XC","M11.7",Boolean,1,RO,100,,,,,,,,,,"",
"等速段超速","DB10,D16.4",Boolean,1,RO,100,,,,,,,,,,"",
"电机超温","DB10,D12.3",Boolean,1,RO,100,,,,,,,,,,"",
"电枢电流","MD70",DWord,1,R/W,100,,,,,,,,,,"",
"电枢过流","M161.0",Boolean,1,RO,100,,,,,,,,,,"",
"电枢漏电","DB10,D6.1",Boolean,1,RO,100,,,,,,,,,,"",
"电源类故障","DB10,D20.2",Boolean,1,RO,100,,,,,,,,,,"",
"给定故障","M200.7",Boolean,1,RO,100,,,,,,,,,,"",
"极限过卷","M200.1",Boolean,1,RO,100,,,,,,,,,,"",
"急停ctz","DB10,D13.5",Boolean,1,RO,100,,,,,,,,,,"",
"减速点开关故障","M33.0",Boolean,1,RO,100,,,,,,,,,,"",
"减速段超速","DB10,D16.3",Boolean,1,RO,100,,,,,,,,,,"",
"近斗过卷","DB10,D4.6",Boolean,1,RO,100,,,,,,,,,,"",
"励磁漏电","DB10,D58.0",Boolean,1,RO,100,,,,,,,,,,"",
"溜车保护","DB10,D15.2",Boolean,1,RO,100,,,,,,,,,,"",
"软过卷","M200.0",Boolean,1,RO,100,,,,,,,,,,"",
"深度指示器失效","M200.4",Boolean,1,RO,100,,,,,,,,,,"",
"调节柜故障","DB10,D7.1",Boolean,1,RO,100,,,,,,,,,,"",
"调节柜故障报警","DB10,D7.3",Boolean,1,RO,100,,,,,,,,,,"",
"远斗过卷","DB10,D3.6",Boolean,1,RO,100,,,,,,,,,,"",
"闸故障","DB10,D16.6",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统电源故障","DB10,D23.1",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统轻故障","DB10,D10.0",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统重故障","DB10,D10.1",Boolean,1,RO,100,,,,,,,,,,"",
"闸控系统重故障1","DB10,D10.2",Boolean,1,RO,100,,,,,,,,,,"",
"闸盘超温","DB10,D11.3",Boolean,1,RO,100,,,,,,,,,,"",
"闸盘磨损","DB10,D11.0",Boolean,1,RO,100,,,,,,,,,,"",
"闸盘疲劳","DB10,D11.1",Boolean,1,RO,100,,,,,,,,,,"",
"闸盘偏摆","DB10,D11.2",Boolean,1,RO,100,,,,,,,,,,"",
"轴承超温","DB10,D12.4",Boolean,1,RO,100,,,,,,,,,,"",
"主变1过热","DB10,D7.5",Boolean,1,RO,100,,,,,,,,,,"",
"主变2过热","DB10,D7.6",Boolean,1,RO,100,,,,,,,,,,"",
"主风机变频器故障","DB10,D58.6",Boolean,1,RO,100,,,,,,,,,,"",
"主回路故障立即施闸","DB10,D7.2",Boolean,1,RO,100,,,,,,,,,,"",
"主绳打滑","M200.5",Boolean,1,RO,100,,,,,,,,,,"",
"转接柜工作方式选择错误","DB10,D15.6",Boolean,1,RO,100,,,,,,,,,,"",
